,id_assessment,assessment_type,date,weight,code_mod_pres
0,1752,TMA,19.0,10.0,AAA2013J
1,1753,TMA,54.0,20.0,AAA2013J
2,1754,TMA,117.0,20.0,AAA2013J
3,1755,TMA,166.0,20.0,AAA2013J
4,1756,TMA,215.0,30.0,AAA2013J
5,1757,Exam,,100.0,AAA2013J
6,1758,TMA,19.0,10.0,AAA2014J
7,1759,TMA,54.0,20.0,AAA2014J
8,1760,TMA,117.0,20.0,AAA2014J
9,1761,TMA,166.0,20.0,AAA2014J
10,1762,TMA,215.0,30.0,AAA2014J
11,1763,Exam,,100.0,AAA2014J
12,14991,CMA,54.0,1.0,BBB2013B
13,14992,CMA,89.0,1.0,BBB2013B
14,14993,CMA,124.0,1.0,BBB2013B
15,14994,CMA,159.0,1.0,BBB2013B
16,14995,CMA,187.0,1.0,BBB2013B
17,14984,TMA,19.0,5.0,BBB2013B
18,14985,TMA,47.0,18.0,BBB2013B
19,14986,TMA,89.0,18.0,BBB2013B
20,14987,TMA,124.0,18.0,BBB2013B
21,14988,TMA,159.0,18.0,BBB2013B
22,14989,TMA,187.0,18.0,BBB2013B
23,14990,Exam,,100.0,BBB2013B
24,15003,CMA,54.0,1.0,BBB2013J
25,15004,CMA,96.0,1.0,BBB2013J
26,15005,CMA,131.0,1.0,BBB2013J
27,15006,CMA,166.0,1.0,BBB2013J
28,15007,CMA,208.0,1.0,BBB2013J
29,14996,TMA,19.0,5.0,BBB2013J
30,14997,TMA,47.0,18.0,BBB2013J
31,14998,TMA,96.0,18.0,BBB2013J
32,14999,TMA,131.0,18.0,BBB2013J
33,15000,TMA,166.0,18.0,BBB2013J
34,15001,TMA,208.0,18.0,BBB2013J
35,15002,Exam,,100.0,BBB2013J
36,15015,CMA,47.0,1.0,BBB2014B
37,15016,CMA,82.0,1.0,BBB2014B
38,15017,CMA,117.0,1.0,BBB2014B
39,15018,CMA,152.0,1.0,BBB2014B
40,15019,CMA,194.0,1.0,BBB2014B
41,15008,TMA,12.0,5.0,BBB2014B
