,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,code_mod_pres,unique_identifier
0,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,AAA2013J,11391AAA2013J
1,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,AAA2013J,28400AAA2013J
2,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,AAA2013J,30268AAA2013J
3,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA2013J,31604AAA2013J
4,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,AAA2013J,32885AAA2013J
5,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,38053AAA2013J
6,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,AAA2013J,45462AAA2013J
7,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,45642AAA2013J
8,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,AAA2013J,52130AAA2013J
9,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,AAA2013J,53025AAA2013J
10,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,57506AAA2013J
11,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,58873AAA2013J
12,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,AAA2013J,59185AAA2013J
13,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,AAA2013J,62155AAA2013J
14,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,AAA2013J,63400AAA2013J
15,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,65002AAA2013J
16,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,AAA2013J,70464AAA2013J
17,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,71361AAA2013J
18,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,AAA2013J,74372AAA2013J
19,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,75091AAA2013J
20,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,77367AAA2013J
21,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,91265AAA2013J
22,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,AAA2013J,94961AAA2013J
23,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,98094AAA2013J
24,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,100893AAA2013J
25,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,AAA2013J,101781AAA2013J
26,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,102806AAA2013J
27,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,AAA2013J,102952AAA2013J
28,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,AAA2013J,104476AAA2013J
29,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,AAA2013J,106247AAA2013J
30,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,AAA2013J,106577AAA2013J
31,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,110175AAA2013J
32,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,111717AAA2013J
33,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,AAA2013J,113295AAA2013J
34,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,AAA2013J,114017AAA2013J
35,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,AAA2013J,114999AAA2013J
36,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,AAA2013J,116541AAA2013J
37,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,AAA2013J,116692AAA2013J
38,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,AAA2013J,118983AAA2013J
39,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,123044AAA2013J
40,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,AAA2013J,127582AAA2013J
41,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,AAA2013J,129955AAA2013J
42,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,AAA2013J,132976AAA2013J
43,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,AAA2013J,134143AAA2013J
44,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,AAA2013J,135335AAA2013J
45,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,AAA2013J,135400AAA2013J
46,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,137873AAA2013J
47,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,AAA2013J,141355AAA2013J
48,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,AAA2013J,141377AAA2013J
49,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,AAA2013J,142326AAA2013J
50,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,144801AAA2013J
51,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,AAA2013J,145130AAA2013J
52,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,AAA2013J,146188AAA2013J
53,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,AAA2013J,147756AAA2013J
54,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,AAA2013J,147793AAA2013J
55,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,AAA2013J,148993AAA2013J
56,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,AAA2013J,151358AAA2013J
57,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,AAA2013J,155550AAA2013J
58,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,AAA2013J,155854AAA2013J
59,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,AAA2013J,155984AAA2013J
60,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,157568AAA2013J
61,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,AAA2013J,159954AAA2013J
62,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,AAA2013J,164259AAA2013J
63,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,AAA2013J,167906AAA2013J
64,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,AAA2013J,168936AAA2013J
65,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,172112AAA2013J
66,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,AAA2013J,172797AAA2013J
67,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,174782AAA2013J
68,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,AAA2013J,175392AAA2013J
69,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,AAA2013J,175932AAA2013J
70,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,AAA2013J,175991AAA2013J
71,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,AAA2013J,180753AAA2013J
72,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,AAA2013J,181316AAA2013J
73,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,AAA2013J,183096AAA2013J
74,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,AAA2013J,183947AAA2013J
75,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,AAA2013J,184271AAA2013J
76,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,AAA2013J,185439AAA2013J
77,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,AAA2013J,186149AAA2013J
78,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,AAA2013J,187100AAA2013J
79,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,AAA2013J,188278AAA2013J
80,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,189879AAA2013J
81,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,AAA2013J,192183AAA2013J
82,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,AAA2013J,195262AAA2013J
83,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,AAA2013J,200860AAA2013J
84,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,AAA2013J,202635AAA2013J
85,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,AAA2013J,205350AAA2013J
86,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,AAA2013J,205719AAA2013J
87,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,AAA2013J,227499AAA2013J
88,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,AAA2013J,227517AAA2013J
89,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,AAA2013J,228082AAA2013J
90,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,AAA2013J,228222AAA2013J
91,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,229179AAA2013J
92,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,AAA2013J,229361AAA2013J
93,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,AAA2013J,231554AAA2013J
94,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,AAA2013J,235507AAA2013J
95,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,AAA2013J,236284AAA2013J
96,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,238007AAA2013J
97,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,AAA2013J,240712AAA2013J
98,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,240884AAA2013J
99,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,AAA2013J,241649AAA2013J
100,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,AAA2013J,241729AAA2013J
101,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,AAA2013J,242793AAA2013J
102,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,246834AAA2013J
103,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,AAA2013J,248270AAA2013J
104,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,AAA2013J,255548AAA2013J
105,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,AAA2013J,256815AAA2013J
106,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,AAA2013J,258392AAA2013J
107,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,AAA2013J,258894AAA2013J
108,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,AAA2013J,260355AAA2013J
109,262011,M,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,AAA2013J,262011AAA2013J
110,262934,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,262934AAA2013J
111,268073,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,90,N,Fail,AAA2013J,268073AAA2013J
112,268733,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,AAA2013J,268733AAA2013J
113,271251,M,Scotland,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,AAA2013J,271251AAA2013J
114,277880,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,N,Withdrawn,AAA2013J,277880AAA2013J
115,279572,M,London Region,Lower Than A Level,40-50%,0-35,0,60,N,Distinction,AAA2013J,279572AAA2013J
116,281022,F,Scotland,A Level or Equivalent,30-40%,0-35,0,150,N,Pass,AAA2013J,281022AAA2013J
117,281250,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Fail,AAA2013J,281250AAA2013J
118,281589,M,North Western Region,HE Qualification,30-40%,0-35,0,60,N,Fail,AAA2013J,281589AAA2013J
119,282821,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,282821AAA2013J
120,286488,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,286488AAA2013J
121,287548,M,East Anglian Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,287548AAA2013J
122,290201,M,Wales,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,AAA2013J,290201AAA2013J
123,290757,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,AAA2013J,290757AAA2013J
124,291334,M,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,AAA2013J,291334AAA2013J
125,292923,F,South East Region,A Level or Equivalent,90-100%,35-55,0,180,N,Withdrawn,AAA2013J,292923AAA2013J
126,293699,M,East Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,N,Pass,AAA2013J,293699AAA2013J
127,294570,M,South East Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,294570AAA2013J
128,294594,M,South East Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,294594AAA2013J
129,295741,M,South East Region,A Level or Equivalent,40-50%,35-55,0,240,N,Fail,AAA2013J,295741AAA2013J
130,296332,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,AAA2013J,296332AAA2013J
131,298696,F,South East Region,HE Qualification,80-90%,0-35,0,60,N,Pass,AAA2013J,298696AAA2013J
132,300398,M,West Midlands Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,AAA2013J,300398AAA2013J
133,302302,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Fail,AAA2013J,302302AAA2013J
134,305152,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,N,Fail,AAA2013J,305152AAA2013J
135,305386,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,120,Y,Pass,AAA2013J,305386AAA2013J
136,305539,F,Wales,Lower Than A Level,80-90%,0-35,0,120,N,Withdrawn,AAA2013J,305539AAA2013J
137,306107,M,West Midlands Region,A Level or Equivalent,50-60%,35-55,0,120,N,Pass,AAA2013J,306107AAA2013J
138,306466,M,East Anglian Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,AAA2013J,306466AAA2013J
139,306897,F,London Region,A Level or Equivalent,10-20,0-35,0,60,N,Pass,AAA2013J,306897AAA2013J
140,307061,F,East Midlands Region,HE Qualification,10-20,0-35,0,60,N,Pass,AAA2013J,307061AAA2013J
141,307866,M,West Midlands Region,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,AAA2013J,307866AAA2013J
142,311917,M,South West Region,A Level or Equivalent,60-70%,55<=,0,120,N,Pass,AAA2013J,311917AAA2013J
143,312537,M,South Region,Post Graduate Qualification,90-100%,55<=,0,60,N,Distinction,AAA2013J,312537AAA2013J
144,312782,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,AAA2013J,312782AAA2013J
145,318933,F,East Anglian Region,HE Qualification,80-90%,0-35,0,120,N,Pass,AAA2013J,318933AAA2013J
146,319047,F,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,AAA2013J,319047AAA2013J
147,321942,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,AAA2013J,321942AAA2013J
148,324002,M,East Anglian Region,HE Qualification,40-50%,35-55,0,60,N,Pass,AAA2013J,324002AAA2013J
149,324084,F,South West Region,A Level or Equivalent,10-20,35-55,0,60,N,Pass,AAA2013J,324084AAA2013J
150,324282,M,South East Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,AAA2013J,324282AAA2013J
151,331358,F,South Region,HE Qualification,90-100%,35-55,0,60,N,Withdrawn,AAA2013J,331358AAA2013J
152,332789,F,East Anglian Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,AAA2013J,332789AAA2013J
153,333059,M,Scotland,A Level or Equivalent,20-30%,0-35,0,120,N,Pass,AAA2013J,333059AAA2013J
154,333323,M,Scotland,HE Qualification,80-90%,0-35,0,60,N,Pass,AAA2013J,333323AAA2013J
155,334259,F,London Region,A Level or Equivalent,50-60%,0-35,0,150,N,Fail,AAA2013J,334259AAA2013J
156,334333,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,Y,Withdrawn,AAA2013J,334333AAA2013J
157,335764,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,N,Withdrawn,AAA2013J,335764AAA2013J
