,id_student,date_registration,date_unregistration,code_mod_pres,unique_identifier
0,11391,-159.0,,AAA2013J,11391AAA2013J
1,28400,-53.0,,AAA2013J,28400AAA2013J
2,30268,-92.0,12.0,AAA2013J,30268AAA2013J
3,31604,-52.0,,AAA2013J,31604AAA2013J
4,32885,-176.0,,AAA2013J,32885AAA2013J
5,38053,-110.0,,AAA2013J,38053AAA2013J
6,45462,-67.0,,AAA2013J,45462AAA2013J
7,45642,-29.0,,AAA2013J,45642AAA2013J
8,52130,-33.0,,AAA2013J,52130AAA2013J
9,53025,-179.0,,AAA2013J,53025AAA2013J
10,57506,-103.0,,AAA2013J,57506AAA2013J
11,58873,-47.0,,AAA2013J,58873AAA2013J
12,59185,-59.0,,AAA2013J,59185AAA2013J
13,62155,-68.0,,AAA2013J,62155AAA2013J
14,63400,-67.0,,AAA2013J,63400AAA2013J
15,65002,-180.0,96.0,AAA2013J,65002AAA2013J
16,70464,-95.0,,AAA2013J,70464AAA2013J
17,71361,-130.0,,AAA2013J,71361AAA2013J
18,74372,-50.0,,AAA2013J,74372AAA2013J
19,75091,-107.0,,AAA2013J,75091AAA2013J
20,77367,-27.0,,AAA2013J,77367AAA2013J
21,91265,-31.0,,AAA2013J,91265AAA2013J
22,94961,-170.0,72.0,AAA2013J,94961AAA2013J
23,98094,-107.0,,AAA2013J,98094AAA2013J
24,100893,-62.0,,AAA2013J,100893AAA2013J
25,101781,-103.0,,AAA2013J,101781AAA2013J
26,102806,-107.0,,AAA2013J,102806AAA2013J
27,102952,-100.0,,AAA2013J,102952AAA2013J
28,104476,-109.0,,AAA2013J,104476AAA2013J
29,106247,5.0,175.0,AAA2013J,106247AAA2013J
30,106577,-107.0,,AAA2013J,106577AAA2013J
31,110175,-110.0,,AAA2013J,110175AAA2013J
32,111717,-43.0,,AAA2013J,111717AAA2013J
33,113295,-26.0,,AAA2013J,113295AAA2013J
34,114017,-29.0,,AAA2013J,114017AAA2013J
35,114999,-68.0,,AAA2013J,114999AAA2013J
36,116541,-68.0,,AAA2013J,116541AAA2013J
37,116692,-32.0,,AAA2013J,116692AAA2013J
38,118983,-99.0,,AAA2013J,118983AAA2013J
39,123044,-82.0,,AAA2013J,123044AAA2013J
40,127582,-31.0,,AAA2013J,127582AAA2013J
41,129955,-197.0,135.0,AAA2013J,129955AAA2013J
42,132976,-75.0,,AAA2013J,132976AAA2013J
43,134143,-96.0,,AAA2013J,134143AAA2013J
