,id_site,activity_type,week_from,week_to,code_mod_pres
0,546943,resource,,,AAA2013J
1,546712,oucontent,,,AAA2013J
2,546998,resource,,,AAA2013J
3,546888,url,,,AAA2013J
4,547035,resource,,,AAA2013J
5,546614,homepage,,,AAA2013J
6,546897,url,,,AAA2013J
7,546678,oucontent,,,AAA2013J
8,546933,resource,,,AAA2013J
9,546708,oucontent,,,AAA2013J
10,546995,resource,,,AAA2013J
11,546884,url,,,AAA2013J
12,547031,resource,,,AAA2013J
13,546891,url,,,AAA2013J
14,546675,oucontent,,,AAA2013J
15,546927,resource,,,AAA2013J
16,546705,oucontent,,,AAA2013J
17,546991,resource,,,AAA2013J
18,546876,subpage,,,AAA2013J
19,547027,resource,,,AAA2013J
20,546671,oucontent,,,AAA2013J
21,546923,resource,,,AAA2013J
22,546702,oucontent,,,AAA2013J
23,546988,resource,,,AAA2013J
24,546872,subpage,,,AAA2013J
25,547024,resource,,,AAA2013J
26,546668,oucontent,,,AAA2013J
27,546920,resource,,,AAA2013J
28,546699,oucontent,,,AAA2013J
29,546985,resource,,,AAA2013J
30,546739,oucontent,,,AAA2013J
31,547021,resource,,,AAA2013J
32,546665,oucontent,,,AAA2013J
33,546917,resource,,,AAA2013J
34,546695,oucontent,,,AAA2013J
35,546982,resource,,,AAA2013J
36,546736,oucontent,,,AAA2013J
37,547018,resource,,,AAA2013J
38,546661,glossary,,,AAA2013J
39,546692,oucontent,,,AAA2013J
40,546972,resource,,,AAA2013J
41,546733,oucontent,,,AAA2013J
42,547014,resource,,,AAA2013J
43,546658,forumng,,,AAA2013J
44,546914,resource,,,AAA2013J
45,546689,oucontent,,,AAA2013J
46,546968,resource,,,AAA2013J
47,546728,oucontent,,,AAA2013J
48,547011,resource,,,AAA2013J
49,547066,oucollaborate,,,AAA2013J
50,546655,forumng,,,AAA2013J
51,546910,resource,,,AAA2013J
52,546686,oucontent,,,AAA2013J
53,546961,resource,,,AAA2013J
54,546723,oucontent,,,AAA2013J
55,547007,resource,,,AAA2013J
56,547048,dataplus,,,AAA2013J
57,546652,forumng,,,AAA2013J
58,546906,resource,,,AAA2013J
59,546954,resource,,,AAA2013J
60,546717,oucontent,,,AAA2013J
61,547004,resource,,,AAA2013J
62,547042,resource,,,AAA2013J
63,546649,forumng,,,AAA2013J
64,546903,url,,,AAA2013J
65,546683,oucontent,,,AAA2013J
66,546948,resource,,,AAA2013J
67,546714,oucontent,,,AAA2013J
68,547001,resource,,,AAA2013J
69,547037,resource,,,AAA2013J
70,546645,forumng,,,AAA2013J
71,546899,url,,,AAA2013J
72,546680,oucontent,,,AAA2013J
73,546942,resource,,,AAA2013J
74,546711,oucontent,,,AAA2013J
